"","lon_grid","lat_grid","ano","mes","xco2_mean","uncertanty_mean","xco2_sd","nobs","xco2_se"
"72",-57.75,-19.25,2015,2,395.268493652344,0.471910357475281,NA,1,NA
"73",-57.75,-13,2015,2,395.946533203125,0.498405933380127,NA,1,NA
"74",-57.75,-12.75,2015,2,396.443359375,0.522091835737228,0,2,0
"75",-57.75,-12.5,2015,2,397.540618896484,0.442853111028671,0,15,0
"76",-57.75,-12.25,2015,2,396.6240234375,0.40718845029672,0,60,0
"77",-57.75,-6,2016,2,400.289367675781,0.463605254888535,0,5,0
"78",-57.75,-5.5,2016,2,399.889038085938,0.541943728923798,NA,1,NA
"79",-57.75,-5,2016,2,399.715026855469,0.55632209777832,NA,1,NA
"80",-57.5,-13.5,2015,2,396.378936767578,0.402225136756897,NA,1,NA
"81",-57.5,-13.25,2015,2,396.109680175781,0.489933043718338,NA,1,NA
"82",-57.5,-13,2015,2,397.312866210938,0.486914694309235,NA,1,NA
"83",-57.5,-7.25,2016,2,399.903381347656,0.551305711269379,NA,1,NA
"84",-57.5,-6.75,2016,2,400.026214599609,0.669982969760895,NA,1,NA
"85",-57.5,-6.5,2016,2,400.254547119141,0.576200366020203,NA,1,NA
"86",-57.5,-6.25,2016,2,400.076629638672,0.598011453946432,0,3,0
"87",-57.25,-14.75,2015,2,396.391296386719,0.378452450037003,NA,1,NA
"88",-57.25,-8.25,2016,2,399.911041259766,0.534135431051254,0,2,0
"89",-57.25,-8,2016,2,399.517486572266,0.518058359622955,NA,1,NA
"90",-57.25,-7.5,2016,2,400.407348632812,0.54253101348877,NA,1,NA
"91",-57.25,-7.25,2016,2,399.667419433594,0.518612504005432,NA,1,NA
"92",-57.25,-0.75,2016,2,399.60986328125,0.616899728775024,0,2,0
"93",-57,-29.75,2016,2,400.126068115234,0.421293079853058,NA,1,NA
"94",-57,-16.25,2015,2,395.741180419922,0.399270802736282,NA,1,NA
"95",-57,-16,2015,2,396.342987060547,0.411877155303955,0,12,0
"96",-57,-2.5,2016,2,400.128784179688,0.58086371421814,0,2,0
"97",-57,-2.25,2016,2,400.018280029297,0.538143202662468,0,2,0
"98",-56.75,-30,2016,2,400.535614013672,0.500371491909027,0,5,0
"99",-56.75,-29.75,2016,2,400.736663818359,0.477401488593646,0,14,0
"100",-56.75,-29.5,2016,2,399.995361328125,0.464787300337445,0,22,0
"101",-56.75,-17,2016,2,401.002288818359,0.498771175742149,0,2,0
"102",-56.75,-16.5,2015,2,396.636566162109,0.532010190188885,0,4,0
"103",-56.75,-16.5,2016,2,400.905395507812,0.498737044632435,0,4,0
"104",-56.75,-16.25,2016,2,400.471557617188,0.465739011764526,0,33,0
"105",-56.75,-10.25,2016,2,400.924041748047,0.488257363438606,0,18,0
